iter	Logloss
0	0.6812818217
1	0.6687511559
2	0.6576802194
3	0.646838206
4	0.6360701993
5	0.6264304664
6	0.6179675275
7	0.6076375625
8	0.6012400918
9	0.5923664563
10	0.5850481952
11	0.5773917903
12	0.5688928349
13	0.5604502728
14	0.55413335
15	0.5472257767
16	0.5405242092
17	0.5337245983
18	0.5278836728
19	0.5219628502
20	0.5172196413
21	0.5123246653
22	0.5081924709
23	0.5018753157
24	0.4976911858
25	0.4946812567
26	0.4906090894
27	0.4861839103
28	0.4827771067
29	0.4787403102
30	0.4763690629
31	0.4729577141
32	0.4690933326
33	0.4658255597
34	0.4617429071
35	0.4590281726
36	0.4562252713
37	0.453726966
38	0.4505075196
39	0.4493470757
40	0.4472085608
41	0.445085427
42	0.4431151763
43	0.441118548
44	0.43884264
45	0.4380517305
46	0.4365233885
47	0.4339702067
48	0.4318433431
49	0.4298903252
50	0.4280752836
51	0.4263711022
52	0.4248389967
53	0.4235980473
54	0.4219199005
55	0.4208782414
56	0.4190360564
57	0.418050146
58	0.4172240356
59	0.4157941574
60	0.4145622861
61	0.41296378
62	0.4120350252
63	0.411147158
64	0.4097187756
65	0.4088407228
66	0.4080617865
67	0.4069238536
68	0.4058535615
69	0.4048677701
70	0.404178586
71	0.4033736548
72	0.4030055608
73	0.4023777178
74	0.4011989451
75	0.4003838781
76	0.3996455401
77	0.3988561067
78	0.3980896282
79	0.397209186
80	0.3966254918
81	0.3962365588
82	0.3951886461
83	0.3941496274
84	0.3936279535
85	0.3927746819
86	0.3918380389
87	0.3911524231
88	0.3905575866
89	0.3896982771
90	0.3891237782
91	0.3885343958
92	0.3879974617
93	0.3875209662
94	0.3867092165
95	0.385847197
96	0.3847239573
97	0.3839297171
98	0.3832079278
99	0.3826792635
100	0.3823766698
101	0.3816890335
102	0.3810228043
103	0.3805970556
104	0.3800696329
105	0.3795436444
106	0.3788900009
107	0.3784099173
108	0.3777905202
109	0.3774823195
110	0.3770914575
111	0.3766689086
112	0.3761957537
